merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"2040","Pad 356 Well 1","2","18","1"," 0000000943","0","3","2","51","14","207","42","477","4c144c47ecba6f8318128703ca9e2601","265fe4b7-7f43-479a-b771-ca6d207fc8be","1"," 0000000943"
"61","Pad 225 Well 3","2","9","34"," 0000000328","9","1","1","3","1","72","17","81","7f39f8317fbdb1988ef4c628eba02591","dcf5368c-7f46-400e-9ffa-2391642c3118","1"," 0000000328"
"841","Pad 141 Well 7","2","9","1"," 0000000586","12","1","1","1","24","87","17","85","02a32ad2669e6fe298e607fe7cc0e1a0","f32b0298-a934-4fab-bc34-ae621c6cc082","1"," 0000000586"
"1488","Well 187","1","18","1"," 0000000708","27","6","4","47","16","178","42","123","8a146f1a3da4700cbf03cdc55e2daae6","9d710e14-cb6d-419b-b9da-81ddf6591630","1"," 0000000708"
"1626","Well 244","1","17","0"," 0000000746","17","3","3","54","12","196","42","149","bc573864331a9e42e4511de6f678aa83","ccc3bb06-9749-4b0e-9e56-a223c415b30d","1"," 0000000746"
"1294","Pad 380 Well 1","2","18","1"," 0000000938","20","3","2","53","14","163","42","477","84438b7aae55a0638073ef798e50b4ef","50d2fb85-ad96-4f2f-9515-5ac1c9dd8332","1"," 0000000938"
"403","Pad 275 Well 1","2","9","34"," 0000000275","6","1","1","25","1","212","17","81","bbf94b34eb32268ada57a3be5062fe7d",,"1"," 0000000275"
"194","Pad 297 Well 1","2","9","1",,"8","1","1","28","1","18","17","81","a597e50502f5ff68e3e25b9114205d4a","115268eb-91fd-47ed-98a7-b968eba01728","1",
"825","Pad 291 Well 1","2","9","1",,"7","1","1","4","22","328","17","31","d554f7bb7be44a7267068a7df88ddd20","9af1a273-599d-4146-9393-b25344f215d4","1",
"2003","Pad 268 Well 1","2","9","1",,"7","1","1","19","21","313","17","31","a591024321c5e2bdbd23ed35f0574dde","064626c2-7a90-4813-b185-d589992a3b7e","1",
"278","Pad 149 Well 5","2","9","11"," 0000000071","2","1","1","6","18","32","17","31","07cdfd23373b17c6b337251c22b7ea57","0646a25e-7800-492c-9d0c-f5c52ccccfc7","1"," 0000000071"
"97","Pad 244 Well 5","2","9","34"," 0000000372","6","1","1","19","1","2","17","81","e2ef524fbf3d9fe611d5a8e90fefdc9c","6eb03af1-deb4-4c87-b33d-4c72bbf750a6","1"," 0000000372"
"100","Pad 203 Well 2","2","9","1"," 0000000467","10","1","1","16","4","5","17","81","f899139df5e1059396431415e770c6dd","63e00074-3fc3-474f-89af-ab6213bf1afd","1"," 0000000467"
"597","Pad 240 Well 1","2","9","1"," 0000000295","8","1","1","28","1","51","17","81","08c5433a60135c32e34f46a71175850c","2ad5c63f-6780-4319-95a6-f3f9da805d8f","1"," 0000000295"
"45","Pad 319 Well 1","2","9","34"," 0000000262","9","1","1","3","1","269","17","81","6c8349cc7260ae62e3b1396831a8398f","d72f2573-3cec-4d00-b8e7-be72d4512706","1"," 0000000262"
"2168","Pad 70 Well 1","2","18","34"," 0000000518","0","7","5","18","22","437","17","85","41e7637e7b6a9f27a98b84d3a185c7c0","c9abfd49-10c9-4aae-875d-e91723d5aac0","1"," 0000000518"
"74","Pad 320 Well 1","2","9","34"," 0000000367","9","1","1","3","4","271","17","81","ad61ab143223efbc24c7d2583be69251","a0e362bc-87f3-47a9-b815-7f4bb00c3a98","1"," 0000000367"
"950","Pad 217 Well 3","2","9","1"," 0000000484","9","1","1","5","2","93","17","81","a3d68b461bd9d3533ee1dd3ce4628ed4","5a4c8c39-af3e-4a1c-8e57-b38593182112","1"," 0000000484"
"638","Pad 138 Well 1","2","9","34"," 0000000577","12","1","1","1","22","243","17","85","4c27cea8526af8cfee3be5e183ac9605","9df40fb3-e5e4-4c95-9cfa-237ba63f8913","1"," 0000000577"
"592","Pad 289 Well 3","2","9","34"," 0000000094","5","1","1","12","18","236","17","31","dbe272bab69f8e13f14b405e038deb64","ae6e7207-87e8-411b-96d2-cd079ddf2a03","1"," 0000000094"
"95","Pad 237 Well 5","2","9","34"," 0000000370","6","1","1","19","1","1","17","81","812b4ba287f5ee0bc9d43bbf5bbe87fb","6b6ffa26-0076-4684-ad44-c90f489cb802","1"," 0000000370"
"581","Pad 259 Well 2","2","9","34"," 0000000084","5","1","1","12","18","234","17","31","c6e19e830859f2cb9f7c8f8cacb8d2a6","03648d74-4cb9-467c-b1c3-d48fdfa155de","1"," 0000000084"
"840","Pad 141 Well 6","2","9","1"," 0000000587","12","1","1","1","24","87","17","85","fa83a11a198d5a7f0bf77a1987bcd006","5bc5ddf0-586a-4f73-8a0d-6a54d5d1d197","1"," 0000000587"
"623","Pad 191 Well 2","2","9","1"," 0000000290","8","1","1","19","1","56","17","81","a733fa9b25f33689e2adbe72199f0e62","ebc685f6-981a-4b76-adc8-8d295e092ce0","1"," 0000000290"
"2296","Pad 97 Well 3","2","18","1"," 0000000634","0","7","5","18","24","473","17","85","130f1a8e9e102707f3f91b010f151b0b","69133b8a-8446-4e2b-b08d-653fcd596ac9","1"," 0000000634"
"909","Pad 119 Well 1","2","9","1"," 0000000247","10","1","1","3","4","347","17","81","a4300b002bcfb71f291dac175d52df94","12e0a026-24cf-4292-aa65-3747c2d3ef50","1"," 0000000247"
"907","Pad 199 Well 1","2","9","1"," 0000000082","5","1","1","2","18","340","17","31","621461af90cadfdaf0e8d4cc25129f91","03fbff81-b588-4fb0-83ea-6e8e839855ba","1"," 0000000082"
"233","Pad 35 Well 1","2","9","1"," 0000000257","10","1","1","3","4","26","17","81","e165421110ba03099a1c0393373c5b43","3b6cf195-5bde-491b-addb-6a061d106706","1"," 0000000257"
"153","Pad 263 Well 4","2","9","1"," 0000000357","6","1","1","19","1","219","17","81","b3e3e393c77e35a4a3f3cbd1e429b5dc","82020294-84ff-43e3-a928-b8e346de635d","1"," 0000000357"
"267","Pad 149 Well 1","2","9","11"," 0000000074","2","1","1","6","18","32","17","31","eda80a3d5b344bc40f3bc04f65b7a357","5ed225df-4685-4d7d-a518-2ddbd2b12d10","1"," 0000000074"
"42","Pad 322 Well 1","2","9","34"," 0000000421","9","1","1","3","1","68","17","81","a1d0c6e83f027327d8461063f4ac58a6","cf2cf71f-54dc-4e71-823c-da7f19662ed0","1"," 0000000421"
"232","Pad 251 Well 2","2","9","1"," 0000000194","11","1","1","19","6","24","17","31","be83ab3ecd0db773eb2dc1b0a17836a1","4f36f9a0-12ff-47e6-b2fb-8ba161d2f2d1","1"," 0000000194"
"914","Pad 285 Well 1","2","9","1",,"7","1","1","17","21","341","17","31","7634ea65a4e6d9041cfd3f7de18e334a","299d63ff-7212-40b6-80cc-cb440fc6bfcd","1",
"1353","Pad 379 Well 1","2","18","1"," 0000000918","20","3","2","53","14","162","42","477","ee8374ec4e4ad797d42350c904d73077","1fe6c0a0-a6c0-49ff-b084-01565a524f63","1"," 0000000918"
"1476","Well 160","1","18","2"," 0000000717","23","6","4","47","16","174","42","123","97275a23ca44226c9964043c8462be96","cc0aaea1-cf14-49db-9568-9836856f8b0d","1"," 0000000717"
"261","Pad 221 Well 1","2","9","1"," 0000000183","2","1","1","6","18","30","17","31","b1a59b315fc9a3002ce38bbe070ec3f5","d5597beb-b978-43f1-9eaf-ea80d78c6522","1"," 0000000183"
"248","Pad 161 Well 1","2","9","34"," 0000000137","3","1","1","10","22","288","17","31","621bf66ddb7c962aa0d22ac97d69b793","802122c4-ea35-4e6e-92aa-647508cebd94","1"," 0000000137"
"2309","Pad 386 Well 1","2","18","1"," 0000000961","0","3","2","55","14","477","42","477","f516dfb84b9051ed85b89cdc3a8ab7f5","f9ea361c-cd0c-49a5-bf3c-3b3d6481f6a2","1"," 0000000961"
"1611","Well 237","2","10","1"," 0000000826","0","3","3","55","12","193","42","149","7a6a74cbe87bc60030a4bd041dd47b78","5ea0f901-6145-4149-b257-ff02e16fa6ee","1"," 0000000826"
"80","Pad 211 Well 2","2","9","34"," 0000000352","6","1","1","19","1","76","17","81","f033ab37c30201f73f142449d037028d","bf17326b-73ba-4f00-bea1-0c2e29af27fb","1"," 0000000352"
"2223","Pad 4 Well 2","2","18","1"," 0000000213","0","7","5","92","20","393","17","31","04048aeca2c0f5d84639358008ed2ae7","eda6b5a7-cccc-4908-bce9-71420fd63dee","1"," 0000000213"
"593","Pad 289 Well 4","2","9","34",,"5","1","1","12","18","236","17","31","acc3e0404646c57502b480dc052c4fe1","ac743071-363d-416f-917a-b63efb218935","1",
"252","Pad 329 Well 1","2","9","1"," 0000000302","9","1","1","3","1","289","17","81","03c6b06952c750899bb03d998e631860","049c3666-24a8-4699-b5bb-ce746a9f6b02","1"," 0000000302"
"767","Pad 233 Well 1","2","9","1"," 0000000368","8","1","1","28","1","214","17","81","f2201f5191c4e92cc5af043eebfd0946","12f933a3-131f-48de-95cc-7b41baa36aca","1"," 0000000368"
"1009","Well 7","1","18","1"," 0000000779","17","3","3","54","12","97","42","149","31b3b31a1c2f8a370206f111127c0dbd","befb3a2b-32e3-4025-95c6-4ad83bf294a3","1"," 0000000779"
"1115","Pad 350 Well 2","2","18","1"," 0000000936","20","3","2","53","14","106","42","477","e19347e1c3ca0c0b97de5fb3b690855a","e86db429-34c4-4f3c-92ae-430369e67171","1"," 0000000936"
"2276","Pad 38 Well 1","2","18","1"," 0000000232","0","7","5","90","47","361","17","31","6150ccc6069bea6b5716254057a194ef","ff335b80-3ab3-42a8-b9da-d2c71d6b056e","1"," 0000000232"
"525","Pad 108 Well 1","2","9","1"," 0000000268","10","1","1","16","4","303","17","81","69421f032498c97020180038fddb8e24","5b3d03d8-dedc-49e1-9e77-3b7b587a3786","1"," 0000000268"
"92","Pad 244 Well 3","2","9","34"," 0000000379","6","1","1","19","1","2","17","81","92cc227532d17e56e07902b254dfad10","d55e9598-c124-4781-8450-20ca1f25c161","1"," 0000000379"
"1480","Well 173","1","18","1"," 0000000699","24","6","4","43","16","175","42","123","e816c635cad85a60fabd6b97b03cbcc9","cdf88080-f7fa-45ad-9983-e57444e95111","1"," 0000000699"
"675","Pad 184 Well 2","2","9","1"," 0000000444","11","1","1","19","1","61","17","81","8fecb20817b3847419bb3de39a609afe","d3add7b8-00cf-4683-8b75-1f9f5a9a6845","1"," 0000000444"
"1668","Pad 405 Well 3","2","18","1"," 0000000920","19","3","2","53","14","199","42","477","b0f2ad44d26e1a6f244201fe0fd864d1","2da30bf2-e176-4e16-bf2d-4081325d8e83","1"," 0000000920"
"1564","Well 217","2","18","1"," 0000000810","22","3","3","55","12","186","42","149","facf9f743b083008a894eee7baa16469","908cb419-5a02-469d-8e44-0bf2815f2a17","1"," 0000000810"
"661","Pad 227 Well 3","2","9","1"," 0000000474","9","1","1","3","1","59","17","81","3a066bda8c96b9478bb0512f0a43028c","4a6203d1-35ea-4f8d-91c5-0c91c325f513","1"," 0000000474"
"770","Pad 165 Well 1","2","9","34"," 0000000557","3","1","1","10","22","324","17","85","4ea06fbc83cdd0a06020c35d50e1e89a","d064adf4-df0a-4bc4-b909-c8a95150d952","1"," 0000000557"
"1487","Well 186","1","18","1"," 0000000707","25","6","4","47","16","176","42","123","6d3a1e06d6a06349436bc054313b648c","1f8e14cf-dabc-4c16-b478-fbff308d5e09","1"," 0000000707"
"644","Pad 188 Well 1","2","9","34"," 0000000117","5","1","1","12","19","310","17","31","8c7bbbba95c1025975e548cee86dfadc","34c4de56-b75a-48a8-b98e-5e6f629c8c9c","1"," 0000000117"
"2219","Pad 367 Well 2","2","18","1"," 0000000947","0","3","2","52","14","457","42","477","13111c20aee51aeb480ecbd988cd8cc9","650eec45-1c99-421d-b4ab-77338e028831","1"," 0000000947"
