merrickid,wellname,completiontype,producingstatus,producingmethod,apiwellnumber,routeid,groupid,divisionid,fieldgroupid,areaid,batteryid,stateid,countyid,ariesid,wellviewid,activeflag,mmsapiwellnumber
"60","Pad 316 Well 1","2","9","34"," 0000000303","9","1","1","3","4","247","17","81","072b030ba126b2f4b2374f342be9ed44","f6cd465e-b870-42a8-9198-4daf50597275","1"," 0000000303"
"2299","Pad 376 Well 1","2","18","1"," 0000000869","0","3","2","54","11","474","42","149","40b5f25a228570053bc64a043c3f1833","f064aac1-393b-47d5-a284-45a1725c97fe","1"," 0000000869"
"580","Pad 259 Well 1","2","9","34"," 0000000083","5","1","1","12","18","234","17","31","069d3bb002acd8d7dd095917f9efe4cb","20d070d1-31fe-4207-b1fd-ce808c29bf6a","1"," 0000000083"
"93","Pad 244 Well 4","2","9","34"," 0000000380","6","1","1","19","1","2","17","81","98dce83da57b0395e163467c9dae521b","1ac3eed4-2804-45bc-a548-274bb6fd7355","1"," 0000000380"
"2200","Pad 399 Well 1","2","18","2"," 0000000864","0","3","2","53","11","452","42","149","5249ee8e0cff02ad6b4cc0ee0e50b7d1","3f9d3459-a29c-492c-abe8-1823799b829b","1"," 0000000864"
"2100","Pad 29 Well 1","2","18","34"," 0000000144","0","7","5","90","20","392","17","31","2cad8fa47bbef282badbb8de5374b894","eff402c5-0a18-48ed-981e-f5d079e737ab","1"," 0000000144"
"399","Pad 98 Well 1","2","9","1"," 0000000395","10","1","1","16","4","42","17","81","352fe25daf686bdb4edca223c921acea","5f4358c9-7381-40db-ae3e-16f799e8e928","1"," 0000000395"
"1375","Pad 381 Well 1","1","18","2"," 0000000842","17","3","2","54","11","167","42","149","70feb62b69f16e0238f741fab228fec2","43058fef-0d18-4144-be26-3f76fa111218","1"," 0000000842"
"1204","Well 67","1","18","1"," 0000000836","18","3","2","52","12","118","42","149","fb2fcd534b0ff3bbed73cc51df620323","8fac5992-671a-450f-b13b-420517b1cc29","1"," 0000000836"
"54","Pad 252 Well 3","2","9","1"," 0000000199","11","1","1","19","6","70","17","31","a684eceee76fc522773286a895bc8436","08bd27ce-d2b8-4071-b45e-e3fbf6461aeb","1"," 0000000199"
"2119","Pad 66 Well 1","2","18","34"," 0000000516","0","7","5","91","21","387","17","85","1b5230e3ea6d7123847ad55a1e06fffd","fd87dfe9-8898-4c90-855d-d438f674d368","1"," 0000000516"
"432","Pad 106 Well 2","2","9","34"," 0000000309","10","1","1","16","4","229","17","81",,"b6c10a94-a9c0-423d-ba9c-68936b5226a0","1"," 0000000309"
"1483","Well 176","1","18","1"," 0000000704","24","6","4","47","16","175","42","123",,"af891e82-5a3d-49fa-9895-7175062fb7dc","1"," 0000000704"
