propnum,allocid,propname,apinum,nri
"96ea64f3a1aa2fd00c72faacf0cb8ac9","792","Pad 287 Well 5"," 0000000122","0.83"
"f0e52b27a7a5d6a1a87373dffa53dbe5","574","Pad 302 Well 1"," 0000000001","1"
"8929c70f8d710e412d38da624b21c3c8","2165","Pad 82 Well 1"," 0000000520","1"
"70c639df5e30bdee440e4cdf599fec2b","393","Pad 198 Well 3",,"0.84"
"1f0e3dad99908345f7439f8ffabdffc4","19","Pad 2 Well 1"," 0000000327","1"
"194cf6c2de8e00c05fcf16c498adc7bf","2096","Pad 43 Well 1"," 0000000135","0.95"
"bd0cc810b580b35884bd9df37c0e8b0f","2169","Pad 26 Well 1"," 0000000029","0.82"
"86e78499eeb33fb9cac16b7555b50767","2162","Pad 60 Well 1"," 0000000529","0.79"
"f79921bbae40a577928b76d2fc3edc2a","688","Pad 12 Well 1"," 0000000121","1"
"fa1e9c965314ccd7810fb5ea838303e5","1495","Well 179"," 0000000711","0.96"
"eb6fdc36b281b7d5eabf33396c2683a2","618","Pad 191 Well 1"," 0000000460","0.97"
"979d472a84804b9f647bc185a877a8b5","213","Pad 197 Well 1"," 0000000488","1"
"3948ead63a9f2944218de038d8934305","1216","Pad 364 Well 1"," 0000000849","0.92"
"ffeabd223de0d4eacb9a3e6e53e5448d","575","Pad 302 Well 2"," 0000000002","0.76"
"076a0c97d09cf1a0ec3e19c7f2529f2b","594","Pad 289 Well 5"," 0000000096","1"
"86d7c8a08b4aaa1bc7c599473f5dddda","1666","Pad 405 Well 1"," 0000000919","1"
"f29c21d4897f78948b91f03172341b7b","613","Pad 201 Well 1",,"1"
"82b8a3434904411a9fdc43ca87cee70c","1025","Pad 340 Well 1"," 0000000856","1"
"8c19f571e251e61cb8dd3612f26d5ecf","263","Pad 220 Well 1"," 0000000185","0.81"
"0f49c89d1e7298bb9930789c8ed59d48","283","Pad 150 Well 3"," 0000000106","0.77"
"ee26fc66b1369c7625333bedafbfcaf6","2156","Pad 73 Well 5",,"1"
"e4a6222cdb5b34375400904f03d8e6a5","242","Pad 300 Well 2"," 0000000492","0.77"
"8f7d807e1f53eff5f9efbe5cb81090fb","839","Pad 141 Well 5"," 0000000588","1"
"c6335734dbc0b1ded766421cfc611750","2106","Pad 34 Well 1"," 0000000160","0.91"
"4e8412ad48562e3c9934f45c3e144d48","1481","Well 174"," 0000000700","0.76"
"5487315b1286f907165907aa8fc96619","694","Pad 46 Well 1"," 0000000330","0.92"
"f2217062e9a397a1dca429e7d70bc6ca","149","Pad 200 Well 3"," 0000000256","0.89"
"47d1e990583c9c67424d369f3414728e","148","Pad 200 Well 2"," 0000000465","0.82"
"b0b79da57b95837f14be95aaa4d54cf8","2235","Pad 3 Well 2"," 0000000629","1"
"a11f9e533f28593768ebf87075ab34f2","2319","Pad 102 Well 3"," 0000000236","1"
"37d097caf1299d9aa79c2c2b843d2d78","2139","Pad 78 Well 1"," 0000000598","1"
"69d658d0b2859e32cd4dc3b970c8496c","1613","Well 238"," 0000000829","1"
"c73dfe6c630edb4c1692db67c510f65c","1348","Well 127"," 0000000822","0.84"
"6974ce5ac660610b44d9b9fed0ff9548","103","Pad 207 Well 2"," 0000000182","1"
"ef41d488755367316f04fc0e0e9dc9fc","2124","Pad 71 Well 1"," 0000000539","0.89"
"1359aa933b48b754a2f54adb688bfa77","2058","Pad 8 Well 2"," 0000000025","0.91"
"7750ca3559e5b8e1f44210283368fc16","616","Pad 305 Well 1"," 0000000438","1"
"c8fbbc86abe8bd6a5eb6a3b4d0411301","906","Pad 117 Well 1"," 0000000178","0.81"
"a486cd07e4ac3d270571622f4f316ec5","2152","Pad 38 Well 2",,"0.88"
"32bb90e8976aab5298d5da10fe66f21d","72","Pad 213 Well 2",,"0.85"
"e0a209539d1e74ab9fe46b9e01a19a97","2085","Pad 39 Well 1"," 0000000116","1"
"8cb22bdd0b7ba1ab13d742e22eed8da2","406","Pad 276 Well 1"," 0000000381","1"
