batterymerrickid,batteryname
"428","Battery 428"
"429","Battery 429"
"430","Battery 430"
"431","Battery 431"
"432","Battery 432"
"433","Battery 433"
"434","Battery 434"
"435","Battery 435"
"436","Battery 436"
"437","Battery 437"
"438","Battery 438"
"439","Battery 439"
"440","Battery 440"
"441","Battery 441"
"442","Battery 442"
"443","Battery 443"
"444","Battery 444"
"445","Battery 445"
"446","Battery 446"
"447","Battery 447"
"448","Battery 448"
"449","Battery 449"
"450","Battery 450"
"451","Battery 451"
"452","Battery 452"
"453","Battery 453"
"454","Battery 454"
"455","Battery 455"
"456","Battery 456"
"457","Battery 457"
"458","Battery 458"
"459","Battery 459"
"460","Battery 460"
"461","Battery 461"
"462","Battery 462"
"463","Battery 463"
"464","Battery 464"
"465","Battery 465"
"466","Battery 466"
"467","Battery 467"
"468","Battery 468"
"469","Battery 469"
"470","Battery 470"
"471","Battery 471"
"472","Battery 472"
"473","Battery 473"
"474","Battery 474"
"475","Battery 475"
"476","Battery 476"
"477","Battery 477"
"478","Battery 478"
"479","Battery 479"
"480","Battery 480"
"481","Battery 481"
"482","Battery 482"
